iteration,field,type,id,2022-01-01 12:00:00
6,ql_mvar,line,line11,-1.579299462400995
6,ql_mvar,line,line12,0.0
6,ql_mvar,line,line13,0.0
6,ql_mvar,line,line14,0.0
6,ql_mvar,line,line15,0.0
6,ql_mvar,line,line16,0.0
6,ql_mvar,line,line17,0.0
6,ql_mvar,line,line2,-1.62092563939468
6,ql_mvar,line,line3,-1.3267411345078441
6,ql_mvar,line,line4,0.0
6,ql_mvar,line,line5,0.0
6,ql_mvar,line,line6,0.0
6,ql_mvar,line,line7,0.0
6,ql_mvar,line,line8,0.0
6,ql_mvar,line,line9,0.0
6,energy_not_served_wh,load,load1,0.0
6,energy_not_served_wh,load,load11,3.7355077555609633
6,energy_not_served_wh,load,load14,1.53867397383134
6,energy_not_served_wh,load,load17,0.273733178684287
6,energy_not_served_wh,load,load2,0.0
6,energy_not_served_wh,load,load3,0.0
6,energy_not_served_wh,load,load6,8.88940967418806
6,energy_not_served_wh,load,load9,7.79585953622549
6,in_service,load,load1,1.0
6,in_service,load,load11,1.0
6,in_service,load,load14,1.0
6,in_service,load,load17,1.0
6,in_service,load,load2,1.0
6,in_service,load,load3,1.0
6,in_service,load,load6,1.0
6,in_service,load,load9,1.0
6,loss_of_load_p_duration_h,load,load1,0.0
6,loss_of_load_p_duration_h,load,load11,1.0
6,loss_of_load_p_duration_h,load,load14,1.0
6,loss_of_load_p_duration_h,load,load17,1.0
6,loss_of_load_p_duration_h,load,load2,0.0
6,loss_of_load_p_duration_h,load,load3,0.0
6,loss_of_load_p_duration_h,load,load6,1.0
6,loss_of_load_p_duration_h,load,load9,1.0
6,loss_of_load_p_mw,load,load1,9.714198645127681e-05
6,loss_of_load_p_mw,load,load11,3.7355077555609633
6,loss_of_load_p_mw,load,load14,1.53867397383134
6,loss_of_load_p_mw,load,load17,0.273733178684287
6,loss_of_load_p_mw,load,load2,9.713882698747511e-05
6,loss_of_load_p_mw,load,load3,9.718572881922682e-05
6,loss_of_load_p_mw,load,load6,8.88940967418806
6,loss_of_load_p_mw,load,load9,7.79585953622549
6,loss_of_load_p_percentage,load,load1,0.0003571762890574003
6,loss_of_load_p_percentage,load,load11,50.324573038038814
6,loss_of_load_p_percentage,load,load14,100.0
6,loss_of_load_p_percentage,load,load17,100.0
6,loss_of_load_p_percentage,load,load2,0.00028623464250021824
6,loss_of_load_p_percentage,load,load3,0.0011201649149246158
6,loss_of_load_p_percentage,load,load6,100.0
6,loss_of_load_p_percentage,load,load9,100.0
6,max_p_mw,load,load1,27.1972102928886
6,max_p_mw,load,load11,7.42283049820891
6,max_p_mw,load,load14,1.53867397383134
6,max_p_mw,load,load17,0.273733178684287
6,max_p_mw,load,load2,33.9367821235688
6,max_p_mw,load,load3,8.67601971141608
6,max_p_mw,load,load6,8.88940967418806
6,max_p_mw,load,load9,7.79585953622549
6,max_q_mvar,load,load1,0.0
6,max_q_mvar,load,load11,0.0
6,max_q_mvar,load,load14,0.0
6,max_q_mvar,load,load17,0.0
6,max_q_mvar,load,load2,0.0
6,max_q_mvar,load,load3,0.0
6,max_q_mvar,load,load6,0.0
6,max_q_mvar,load,load9,0.0
6,p_mw,load,load1,27.197113150902148
6,p_mw,load,load11,3.6873227426479467
6,p_mw,load,load14,0.0
6,p_mw,load,load17,0.0
6,p_mw,load,load2,33.93668498474181
