time_yr;rp1;rp2;rp3;rp4;rp5;rp6
5;0.29;0.52;0.78;1.02;1.22;1.46
10;0.33;0.6;0.9;1.17;1.4;1.69
50;0.39;0.73;1.12;1.47;1.78;2.15
100;0.42;0.79;1.21;1.6;1.94;2.35
250;0.45;0.87;1.34;1.77;2.15;2.61
500;0.49;0.94;1.45;1.92;2.33;2.85
1000;0.52;1.01;1.55;2.06;2.51;3.06
