strata,iteration,field,type,id,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00
0,0,vm_pu,bus,bus2,1.0623104315794645,1.0157973353403105,1.0452990201993213,1.0452998254075163,1.0452997423937207,1.062201170864861,1.0453000397040162,1.0452999028983216,1.062328398017954,1.0452989698062873,1.0452998127937418,1.045299837799474,1.043449281645692,1.0452985819015186,1.0169315946943642,1.0628436874094238,1.0627771814958518,1.0452997942848072,1.0452998413799752,0.9669805602517072,1.02697228151905,1.0223023107847766,1.0452992608535567,1.0209067652801342,1.0181423436067598,1.0452998574454664,1.0452998341990012,1.0622505092210983,0.9977655604958656,1.0485250125980607,1.0136530692938635,1.0327394219351402,1.045299793894646,1.0595194577951945,1.0587816597888497,1.062615734241515,1.0627758081374519,1.024407438984155,1.0452997076529078,0.9637092069802047
0,0,vm_pu,bus,bus3,1.0620617139297288,1.0706590822899253,1.0999988867859858,1.0999997432770234,1.099999655705103,1.0620233127026353,1.099999999550192,1.099999825121821,1.0625139714136331,1.0999988437021642,1.09999972996724,1.0999997564231163,1.0981591250060985,1.0999984179974052,1.0626186916369942,1.0625805224754572,1.0625824212762123,1.0999997104194446,1.0999997601359925,1.0154652228785488,1.0625874611476431,1.062778759895732,1.099999150106377,1.075739902723858,1.0623821648793406,1.0999997771003263,1.0999997525587992,1.0621301241227368,1.002602240655472,1.0623006187858157,1.0685268404850785,1.062186579405784,1.0999997100158745,1.0621040747317567,1.0622639766794462,1.0622791287856355,1.0625232484286053,1.062410425314309,1.0999996184797236,0.9898092037448027
0,0,vm_pu,bus,bus4,1.0998938304520915,1.0999998272422655,1.0727646808558284,1.0757774148056987,1.0770834264213336,1.0998919528976163,1.0999367186939133,1.0642137539046135,1.0999232148387663,1.0857508846719341,1.063027860487077,1.0998512213411924,1.099999659684341,1.0754433297785093,1.099987268888268,1.0999967400593114,1.0999929806416882,1.083339408128742,1.0696192121899926,1.0177392582912235,1.0999692076142145,1.0999882955842748,1.0609212772379908,1.099999006095992,1.099951261628582,1.0684125427769788,1.0708739251913213,1.0999618038487446,1.0056378782096034,1.0998600756282724,1.0999990287140229,1.0997862590993253,1.072818238730289,1.0998757076831804,1.0998654268343468,1.0999874491040618,1.0999957808923895,1.099914375298827,1.0761674991859218,0.9993414418477936
0,0,vm_pu,bus,bus5,1.0702247014275863,1.0694185341035085,1.0459092450689857,1.0507714886761685,1.0553502916996325,1.0773052590012482,1.0767612378214018,1.0443673812405105,1.070530803576097,1.0576979067009211,1.0422922586329972,1.0832586331107874,1.0771513594764053,1.0528935688359866,1.0733508231024613,1.07010686992152,1.0696055127329327,1.057748247397996,1.0486744135557955,1.0112467274817718,1.0768300920131921,1.0742205692937272,1.036681055647824,1.0844370395409033,1.0840257913494311,1.0469107165934863,1.043948572866503,1.0846428578104377,1.006188359441077,1.0712990252864383,1.0722703241279978,1.0709567653258838,1.0461593344081308,1.0749201167488598,1.0748060059758018,1.075451819410431,1.076692879320056,1.0781727540794988,1.0536637166346932,0.9938749827659921
0,0,vm_pu,bus,bus6,1.0637857554163834,1.06477126070867,1.0304049931484296,1.0408254185466963,1.0497339492017026,1.07079966891495,1.0731535350474282,1.040146441071015,1.0661607316853554,1.0449305293588402,1.0418305196525395,1.0691193218843618,1.069596718210558,1.0460654752266871,1.0652774262877474,1.0693590455510442,1.067226387522059,1.0526474878277334,1.042134305537951,1.0048254207212717,1.0706602120311304,1.0725991606412733,1.0251478555395597,1.0765437514249616,1.0770452553975687,1.0390529347642212,1.027635024244499,1.0746285609995412,1.0029816089596644,1.068440962763161,1.0563406717984858,1.0704451311821805,1.0365793166229418,1.0694826598605338,1.0589065077079065,1.0630128456504682,1.0621492775961083,1.0726556162427494,1.0459921323367685,0.978203193082305
0,0,vm_pu,bus,bus7,1.0462480230437017,1.0423874104195792,1.0340389438049635,1.0343364541371753,1.038323354369308,1.0617762586888468,1.0574900649012688,1.027388371653024,1.044617258052911,1.041876227890605,1.0203373341043072,1.082569105112009,1.0622932923147095,1.036518744995872,1.0548308699311855,1.039805578512187,1.0403536333549606,1.0355869980850863,1.033155523777377,1.0104445689602437,1.0599970294515524,1.04929572258001,1.0227765591244438,1.0785961095271521,1.0767190970841318,1.032290968101948,1.0325214523004669,1.0810469951240198,1.0093242410996277,1.0449250951422409,1.0611658046879253,1.0414558646552499,1.02785899860714,1.0551994452385454,1.0665189189933704,1.0640696787354575,1.0688544652022762,1.0626219198340243,1.037768302718098,1.0047702290062872
0,0,vm_pu,bus,bus8,1.0339113946320704,1.0253028112724074,1.0259123179409961,1.0259788410026471,1.0271993346323183,1.041978220649617,1.0390377815067007,1.0199685168124666,1.0302508801310322,1.0279218825436003,1.0110011627938613,1.0609584850750031,1.0476911128461273,1.0274538257016996,1.0406828467836782,1.0283647684266852,1.02942256155482,1.0279127299256117,1.0198120144575287,1.0056801997870488,1.0441233463397102,1.0388261834600097,1.0128684680955766,1.0554708007159417,1.0542981943669913,1.0221488942348615,1.0206491788705594,1.0574269934195277,1.00406436915737,1.0321221091274824,1.040465034747162,1.0315356139829168,1.0160349138481526,1.0416709735212684,1.0477643790587112,1.047341222455729,1.051043181717746,1.046258481310316,1.0312228009069713,1.003286294227536
0,0,vm_pu,bus,bus9,1.033525212199559,1.0091395657599125,1.022446025502088,1.0145343984601216,1.0209422926833818,1.0273106309053182,1.0273321664978485,1.0178613926634714,1.0197568879336911,1.0127323829452803,1.0020801309971021,1.0474495591919863,1.043882406300533,1.0264396433247864,1.038967166983578,1.0275101536228868,1.0273422105616896,1.0207409686930202,1.0046499630078356,0.9963552664683542,1.0285142010977548,1.034332559861354,0.9977669847313607,1.044444393957624,1.0447688735521674,1.016684289778384,1.0080381745678544,1.0419070802445096,0.9948817247949842,1.0272472612333794,1.0279287338839742,1.0300020914632209,1.0030741599444002,1.035590761862398,1.0414731623056528,1.0410864409596576,1.0438842108686808,1.0450924856134005,1.031213320631491,1.0032184398748736
0,0,p_mw,ext_grid,eg,0.05499632649241448,0.05499632649238606,0.05499632649241448,0.05499632649238606,0.05499632649241448,0.05499632649238606,0.05499632649240027,0.05499632649238606,0.05499632649241448,0.05499632649240027,0.05499632649240027,0.05499632649240027,0.05499632649241448,0.05499632649240027,0.05499632649241448,0.05499632649241448,0.05499632649241448,0.05499632649241448,0.05499632649238606,0.05499632649241448,0.05499632649240027,0.05499632649240027,0.05499632649240027,0.05499632649240027,0.05499632649240027,0.05499632649238606,0.05499632649240027,0.05499632649240027,0.05499632649238606,0.05499632649240027,0.05499632649240027,0.05499632649240027,0.05499632649238606,0.05499632649240027,0.05499632649238606,0.05499632649238606,0.05499632649238606,0.05499632649240027,0.05499632649240027,0.05499632649241448
0,0,q_mvar,ext_grid,eg,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074,0.29490508641993074
