strata,iteration,field,type,id,2022-01-01 13:00:00
0,0,p_mw,bus,bus1,-253.52944527907735
0,0,p_mw,bus,bus10,0.0
0,0,p_mw,bus,bus11,-19.054102879820903
0,0,p_mw,bus,bus12,0.0
0,0,p_mw,bus,bus13,0.0
0,0,p_mw,bus,bus14,11.06696913309031
0,0,p_mw,bus,bus15,0.0
0,0,p_mw,bus,bus16,-27.527678871854675
0,0,p_mw,bus,bus17,11.417831266260748
0,0,p_mw,bus,bus18,-9.453378254170559
0,0,p_mw,bus,bus2,208.94697729891908
0,0,p_mw,bus,bus3,96.28516081029775
0,0,p_mw,bus,bus4,-28.712656426450508
0,0,p_mw,bus,bus5,0.0
0,0,p_mw,bus,bus6,24.44748054944091
0,0,p_mw,bus,bus7,-28.983473985490036
0,0,p_mw,bus,bus8,0.0
0,0,p_mw,bus,bus9,11.7774126810192
0,0,q_mvar,bus,bus1,-7.939687054213669
0,0,q_mvar,bus,bus10,0.0
0,0,q_mvar,bus,bus11,2.2508468013532994
0,0,q_mvar,bus,bus12,0.0
0,0,q_mvar,bus,bus13,0.0
0,0,q_mvar,bus,bus14,-1.0000000000000005e-16
0,0,q_mvar,bus,bus15,0.0
0,0,q_mvar,bus,bus16,2.0105030923042246
0,0,q_mvar,bus,bus17,-1.0000000000000005e-16
0,0,q_mvar,bus,bus18,3.039224687694512
0,0,q_mvar,bus,bus2,-1e-16
0,0,q_mvar,bus,bus3,-6.499497788689261
0,0,q_mvar,bus,bus4,-2.560610200954974
0,0,q_mvar,bus,bus5,0.0
0,0,q_mvar,bus,bus6,-1e-16
0,0,q_mvar,bus,bus7,0.7897781152726182
0,0,q_mvar,bus,bus8,0.0
0,0,q_mvar,bus,bus9,-1.0000000000000005e-16
0,0,va_degree,bus,bus1,0.0
0,0,va_degree,bus,bus10,-5.703698008947615
0,0,va_degree,bus,bus11,-4.76764265834804
0,0,va_degree,bus,bus12,-5.523477958174518
0,0,va_degree,bus,bus13,-5.321747914189074
0,0,va_degree,bus,bus14,-5.8831539707081015
0,0,va_degree,bus,bus15,-4.516864469987087
0,0,va_degree,bus,bus16,-3.090328294165796
0,0,va_degree,bus,bus17,-5.123509876692922
0,0,va_degree,bus,bus18,-3.7199328964175398
0,0,va_degree,bus,bus2,-3.48964116926969
0,0,va_degree,bus,bus3,-6.783088360346884
0,0,va_degree,bus,bus4,-5.336129473314448
0,0,va_degree,bus,bus5,-5.251117765156761
0,0,va_degree,bus,bus6,-6.267293632420181
0,0,va_degree,bus,bus7,-4.118418457442545
0,0,va_degree,bus,bus8,-4.193770880022965
0,0,va_degree,bus,bus9,-4.714024365922932
0,0,vm_pu,bus,bus1,1.0
0,0,vm_pu,bus,bus10,0.9932225907350055
0,0,vm_pu,bus,bus11,0.9989218577059227
0,0,vm_pu,bus,bus12,0.9963373216002246
0,0,vm_pu,bus,bus13,0.9988319571799
0,0,vm_pu,bus,bus14,0.9945992396138198
0,0,vm_pu,bus,bus15,1.0047767329947
0,0,vm_pu,bus,bus16,1.0146150752353302
0,0,vm_pu,bus,bus17,1.0001895425807361
0,0,vm_pu,bus,bus18,1.0052521994747183
0,0,vm_pu,bus,bus2,0.9986639168308842
0,0,vm_pu,bus,bus3,0.9840172537715309
0,0,vm_pu,bus,bus4,0.997913906526219
0,0,vm_pu,bus,bus5,0.9978036867543075
0,0,vm_pu,bus,bus6,0.9895746393692189
0,0,vm_pu,bus,bus7,1.0057084633692734
0,0,vm_pu,bus,bus8,1.0038752524375756
0,0,vm_pu,bus,bus9,0.9998699337295724
0,0,p_mw,ext_grid,eg,253.52944527907735
0,0,q_mvar,ext_grid,eg,7.939687054213669
0,0,in_service,gen,g0,1.0
0,0,in_service,gen,g1,1.0
0,0,in_service,gen,g11,1.0
0,0,in_service,gen,g16,1.0
0,0,in_service,gen,g18,1.0
0,0,in_service,gen,g7,1.0
0,0,max_p_mw,gen,g0,100.0
0,0,max_p_mw,gen,g1,100.0
0,0,max_p_mw,gen,g11,100.0
0,0,max_p_mw,gen,g16,100.0
0,0,max_p_mw,gen,g18,100.0
0,0,max_p_mw,gen,g7,100.0
0,0,max_q_mvar,gen,g0,
0,0,max_q_mvar,gen,g1,
0,0,max_q_mvar,gen,g11,
0,0,max_q_mvar,gen,g16,
0,0,max_q_mvar,gen,g18,
0,0,max_q_mvar,gen,g7,
0,0,p_mw,gen,g0,80.49122798041567
0,0,p_mw,gen,g1,62.662002512197645
0,0,p_mw,gen,g11,50.8078131397705
0,0,p_mw,gen,g16,27.52767887185465
0,0,p_mw,gen,g18,9.453378254170556
0,0,p_mw,gen,g7,28.983473985490008
